Title,Publication Year,Author,Genre,Average Rating,Number of Ratings,Number of Pages,Language,Currently Reading,Want to Read,Rank
Eternals,2006.0,Neil Gaiman,Comics,3.62,10756,256.0,English,451.0,8038.0,53
The Sandman: Book of Dreams,1996.0,Neil Gaiman,Fantasy,4.28,9011,402.0,English,396.0,18400.0,54
A Study in Emerald,2003.0,Neil Gaiman,Fantasy,4.17,9205,1.0,English,47.0,10500.0,55
Death,2012.0,Neil Gaiman,Graphic Novels,4.47,8522,320.0,English,426.0,7981.0,56
"The Absolute Sandman, Volume 3",1993.0,Neil Gaiman,Comics,4.69,8009,616.0,English,122.0,4057.0,57
Hansel and Gretel,2014.0,Neil Gaiman,Fantasy,3.81,9115,56.0,English,71.0,25700.0,58
Instructions,2010.0,Neil Gaiman,Fantasy,4.27,7723,40.0,English,25.0,4998.0,59
"The Graveyard Book Graphic Novel, Volume 2",2009.0,Neil Gaiman,Graphic Novels,4.31,7263,176.0,English,138.0,2919.0,60
MirrorMask,2005.0,Neil Gaiman,Fantasy,3.85,8071,80.0,English,27.0,5668.0,61
How to Talk to Girls at Parties,2016.0,Neil Gaiman,Graphic Novels,3.62,8076,64.0,English,82.0,4734.0,62
The Tragical Comedy or Comical Tragedy of Mr. Punch,1994.0,Neil Gaiman,Graphic Novels,3.77,7704,96.0,English,35.0,5902.0,63
How to Talk to Girls at Parties,2007.0,Neil Gaiman,Short Stories,3.73,7747,11.0,English,121.0,5480.0,64
"Snow, Glass, Apples",1995.0,Neil Gaiman,Fantasy,4.14,6845,25.0,English,35.0,9244.0,65
A Study in Emerald,2018.0,Neil Gaiman,Graphic Novels,3.91,6981,88.0,English,237.0,6506.0,66
Blueberry Girl,2009.0,Neil Gaiman,Picture Books,4.19,6247,32.0,English,25.0,4778.0,67
Sandman. Tom 1. Sen sprawiedliwych,2004.0,Neil Gaiman,Comics,4.39,5927,100.0,Polish,15.0,6770.0,68
Stories: All-New Tales,2010.0,Neil Gaiman,Short Stories,3.71,6916,428.0,English,831.0,7919.0,69
The Monarch of the Glen,2006.0,Neil Gaiman,Fantasy,3.84,6323,128.0,English,78.0,11600.0,70
Murder Mysteries,1992.0,Neil Gaiman,Graphic Novels,4.06,5928,64.0,English,66.0,5169.0,71
Neverwhere: BBC Dramatisation,2013.0,Neil Gaiman,Fantasy,4.33,5441,4.0,English,68.0,1810.0,72
Chivalry,1992.0,Neil Gaiman,Fantasy,4.21,5457,72.0,English,59.0,3200.0,73
The Silver Dream,2013.0,Neil Gaiman,Fantasy,3.6,6127,256.0,English,206.0,4943.0,74
Chu's Day,2013.0,Neil Gaiman,Picture Books,3.86,5446,30.0,English,24.0,4078.0,75
Neil Gaiman and Charles Vess' Stardust #1,1997.0,Neil Gaiman,Fantasy,4.37,4777,50.0,English,31.0,5082.0,76
The Sandman: Overture #1,2013.0,Neil Gaiman,Comics,4.26,4813,18.0,English,36.0,4261.0,77
The Quotable Sandman,2001.0,Neil Gaiman,Fantasy,4.52,4515,90.0,English,4.0,2285.0,78
The Sandman,1990.0,Neil Gaiman,Fantasy,4.46,4435,560.0,English,869.0,1873.0,79
1602: Part One,2003.0,Neil Gaiman,Comics,3.79,4994,35.0,English,31.0,4027.0,80
"American Gods, Vol. 1: Shadows",2018.0,Neil Gaiman,Graphic Novels,4.16,4535,262.0,English,341.0,2675.0,81
The Dangerous Alphabet,2008.0,Neil Gaiman,Picture Books,4.07,4390,32.0,English,8.0,3040.0,82
"The Sandman Omnibus, Vol. 1",2013.0,Neil Gaiman,Comics,4.65,3651,1040.0,English,416.0,3951.0,83
Violent Cases,1987.0,Neil Gaiman,Graphic Novels,3.79,4338,48.0,English,9.0,2878.0,84
Signal to Noise,1990.0,Neil Gaiman,Comics,3.84,4270,80.0,English,45.0,4359.0,85
Doctor Who: Nothing O'Clock,2013.0,Neil Gaiman,Doctor Who,4.19,3844,45.0,English,66.0,2777.0,86
The Last Temptation,1997.0,Neil Gaiman,Graphic Novels,3.57,4507,104.0,English,65.0,5395.0,87
"The Absolute Sandman, Volume 5",2011.0,Neil Gaiman,Comics,4.65,3370,520.0,English,30.0,2926.0,88
What You Need to Be Warm,2023.0,Neil Gaiman,Poetry,4.19,3611,32.0,English,27.0,7923.0,89
Pirate Stew,2020.0,Neil Gaiman,Picture Books,3.51,4288,48.0,English,19.0,2571.0,90
Cinnamon,1995.0,Neil Gaiman,Picture Books,3.66,4056,40.0,English,29.0,2006.0,91
Crazy hair,2009.0,Neil Gaiman,Picture Books,3.97,3456,40.0,N/A,9.0,1641.0,92
Eternity's Wheel,2015.0,Neil Gaiman,Fantasy,3.72,3538,288.0,English,153.0,3221.0,93
Harlequin Valentine,1999.0,Neil Gaiman,Graphic Novels,3.74,3369,40.0,English,14.0,2144.0,94
Neil Gaiman's Midnight Days,1999.0,Neil Gaiman,Graphic Novels,3.81,3243,208.0,English,142.0,5969.0,95
Click-Clack the Rattlebag,2012.0,Neil Gaiman,Horror,4.1,2832,1.0,English,19.0,2206.0,96
Black Dog,2016.0,Neil Gaiman,Fantasy,4.13,2798,96.0,English,52.0,6803.0,97
"American Gods / Anansi Boys: Coffret, 2 volumes",2012.0,Neil Gaiman,Fantasy,4.32,2578,1181.0,French,172.0,2760.0,98
The Facts In The Case Of The Departure Of Miss Finch,2007.0,Neil Gaiman,Graphic Novels,3.53,2952,56.0,English,28.0,2056.0,99
Creatures Of The Night,2000.0,Neil Gaiman,Graphic Novels,3.81,2508,46.0,English,15.0,1875.0,100
The Neil Gaiman Audio Collection,2004.0,Neil Gaiman,Audiobook,4.21,2248,1.0,English,15.0,893.0,101
The Neil Gaiman Reader: Selected Fiction,2020.0,Neil Gaiman,Fantasy,4.47,2041,752.0,English,934.0,21300.0,102
"The Sandman Omnibus, Vol. 2",2013.0,Neil Gaiman,Graphic Novels,4.71,1919,1033.0,English,148.0,1862.0,103
The Sandman: Book Two,1992.0,Neil Gaiman,Fantasy,4.5,1887,544.0,English,236.0,844.0,104
The Graveyard Book,2015.0,Neil Gaiman,Graphic Novels,4.29,1909,358.0,Italian,79.0,986.0,105
Coraline and Other Stories,2009.0,Neil Gaiman,Fantasy,4.11,1931,278.0,English,77.0,2204.0,106
Angels and Visitations: A Miscellany,1989.0,Neil Gaiman,Fantasy,4.14,1764,166.0,English,25.0,2055.0,107
Chu's First Day of School,2014.0,Neil Gaiman,Picture Books,3.82,1890,30.0,English,12.0,928.0,108
"Miracleman, Book One: The Golden Age",1992.0,Neil Gaiman,Comics,3.91,1831,192.0,English,31.0,1313.0,109
"American Gods, Vol. 2: My Ainsel",2019.0,Neil Gaiman,Graphic Novels,4.21,1681,232.0,English,84.0,1150.0,110
"The Sandman: The Deluxe Edition, Book One",2020.0,Neil Gaiman,Graphic Novels,4.37,1590,528.0,English,211.0,800.0,111
"Norse Mythology, Vol. 1",2021.0,Neil Gaiman,Graphic Novels,4.11,1663,160.0,English,78.0,916.0,112
Forbidden Brides of the Faceless Slaves in the Secret House of the Night of Dread Desire,2017.0,Neil Gaiman,Graphic Novels,3.28,2059,48.0,English,49.0,1109.0,113
Chu's Day at the Beach,2015.0,Neil Gaiman,Picture Books,3.85,1551,32.0,English,6.0,687.0,114
The Sandman #2: Imperfect Hosts,1988.0,Neil Gaiman,Comics,4.26,1338,25.0,English,21.0,291.0,115
The Sandman #3: ... Dream a Little Dream of Me,1989.0,Neil Gaiman,Comics,4.37,1216,32.0,English,9.0,307.0,116
Sandman Midnight Theatre,1995.0,Neil Gaiman,Graphic Novels,3.89,1364,64.0,English,7.0,1739.0,117
The Sandman: Overture #2,2014.0,Neil Gaiman,Comics,4.53,1171,17.0,English,15.0,1523.0,118
"I, Cthulhu, or, What’s a Tentacle-Faced Thing Like Me Doing in a Sunken City Like This (Latitude 47° 9′ S, Longitude 126° 43′ W)?",1986.0,Neil Gaiman,Short Stories,3.74,1349,12.0,English,4.0,1166.0,119
The Sandman #4: Hope in Hell,1988.0,Neil Gaiman,Comics,4.43,1127,25.0,English,11.0,313.0,120
The Sandman: Book Three,1993.0,Neil Gaiman,Fantasy,4.46,1111,528.0,English,109.0,701.0,121
Shoggoth's Old Peculiar,1998.0,Neil Gaiman,Fantasy,4.01,1228,44.0,English,2.0,1406.0,122
Likely Stories,2018.0,Neil Gaiman,Graphic Novels,3.38,1371,80.0,English,45.0,536.0,123
MirrorMask: The Illustrated Film Script,2005.0,Neil Gaiman,Fantasy,3.98,1153,336.0,English,5.0,668.0,124
Troll Bridge,1993.0,Neil Gaiman,Fantasy,3.93,1133,13.0,English,8.0,862.0,125
The Sandman #8: The Sound of Her Wings,1989.0,Neil Gaiman,Comics,4.57,967,26.0,N/A,8.0,283.0,126
"American Gods, Vol. 3: The Moment of the Storm",2020.0,Neil Gaiman,Graphic Novels,4.28,1031,224.0,English,41.0,615.0,127
Only the End of the World Again,1994.0,Neil Gaiman,Graphic Novels,3.34,1301,48.0,English,35.0,1227.0,128
Troll Bridge,2016.0,Neil Gaiman,Graphic Novels,3.86,1124,64.0,English,14.0,578.0,129
Other People,2001.0,Neil Gaiman,Short Stories,4.03,1053,3.0,English,9.0,1080.0,130
The Sandman #5: Passengers,1993.0,Neil Gaiman,Comics,4.19,1002,26.0,English,15.0,221.0,131
The Sandman #6: 24 Hours,1989.0,Neil Gaiman,Comics,4.28,978,26.0,English,5.0,254.0,132
"The Annotated Sandman, Vol. 1",2011.0,Neil Gaiman,Graphic Novels,4.45,920,560.0,English,71.0,1244.0,133
A Calendar of Tales,2013.0,Neil Gaiman,Short Stories,4.21,969,31.0,English,21.0,1162.0,134
"Neil Gaiman/Chris Riddell 3-Book Box Set: Coraline; The Graveyard Book; Fortunately, the Milk",2015.0,Neil Gaiman,Fantasy,4.63,876,512.0,English,63.0,1029.0,135
The Sandman: Overture #3,2014.0,Neil Gaiman,Comics,4.44,882,36.0,English,8.0,586.0,136
The Sandman Volumes 1-10 Box,2012.0,Neil Gaiman,Graphic Novels,4.73,809,2050.0,English,28.0,716.0,137
"Sandman Special, Bd.2, Der Gesang Des Orpheus",1991.0,Neil Gaiman,Comics,4.26,894,56.0,German,7.0,857.0,138
The Sandman #7: Sound and Fury,1989.0,Neil Gaiman,Comics,4.24,896,26.0,English,4.0,225.0,139
The Sandman: Book Four,1996.0,Neil Gaiman,Fantasy,4.59,813,528.0,English,63.0,685.0,140
American Gods: Shadows #1,2017.0,Neil Gaiman,Fantasy,4.03,908,37.0,English,170.0,1012.0,141
The Problem of Susan and Other Stories,2019.0,Neil Gaiman,Fantasy,3.5,1039,77.0,English,40.0,829.0,142
Two Plays for Voices,2002.0,Neil Gaiman,Fantasy,4.17,812,2.0,English,5.0,653.0,143
The Sandman #9: Tales in the Sand,1989.0,Neil Gaiman,Comics,4.29,777,26.0,English,13.0,232.0,144
"Hearts, Keys, and Puppetry",2010.0,Neil Gaiman,Fantasy,3.18,1033,2.0,English,14.0,460.0,145
The Sandman Universe #1,2018.0,Neil Gaiman,Comics,3.91,828,48.0,English,32.0,2875.0,146
"The Sandman: The Deluxe Edition, Book Two",2021.0,Neil Gaiman,Graphic Novels,4.46,726,456.0,English,98.0,459.0,147
The Best American Comics 2010,2010.0,Neil Gaiman,Comics,3.71,843,352.0,English,14.0,604.0,148
We Can Get Them For You Wholesale,1984.0,Neil Gaiman,Short Stories,4.02,736,10.0,English,3.0,893.0,149
Dc Universe by Neil Gaiman,2016.0,Neil Gaiman,Comics,3.88,762,208.0,English,32.0,539.0,150
The Sandman #11: Moving In,1989.0,Neil Gaiman,Comics,4.29,686,26.0,English,11.0,240.0,151
The Sandman #13: Men of Good Fortune,1990.0,Neil Gaiman,Comics,4.48,637,26.0,English,10.0,236.0,152
The Sandman #10: The Doll’s House,1989.0,Neil Gaiman,Comics,4.21,676,24.0,English,9.0,268.0,153
"Norse Mythology, Vol. 2",2022.0,Neil Gaiman,Graphic Novels,4.07,687,152.0,English,28.0,304.0,154
The Sandman: Overture #4,2015.0,Neil Gaiman,Comics,4.46,622,32.0,English,6.0,484.0,155
The Sandman #12: Playing House,1988.0,Neil Gaiman,Comics,4.28,648,25.0,English,10.0,216.0,156
Free Country: A Tale of the Children's Crusade,2015.0,Neil Gaiman,Graphic Novels,3.47,795,416.0,English,17.0,2836.0,157
Coisas Frágeis,2006.0,Neil Gaiman,Fantasy,3.88,704,205.0,Portuguese,19.0,348.0,158
The Man Who Forgot Ray Bradbury,2012.0,Neil Gaiman,Short Stories,4.32,624,10.0,English,1.0,1117.0,159
The Sandman #18: A Dream of a Thousand Cats,1994.0,Neil Gaiman,Comics,4.26,625,25.0,English,7.0,322.0,160
The Sandman #14: Collectors,1990.0,Neil Gaiman,Comics,4.38,579,40.0,English,6.0,186.0,161
The Sandman #17: Calliope,,Neil Gaiman,Comics,4.34,578,24.0,N/A,5.0,207.0,162
